certification_type,firm_name,owners,work_description,naics_codes,physical_address,mailing_address,phone_number,fax_number,email_address,website
DBE,AIA Technologies LLC,Mr. Jay Amin,Manfatring of eletronis assembly eletrial assembly eletro mehanial assembly mehanial assembly printed irit board wiring harness and eletroni box bild & eletrial panels.,334412 334418,"75 Trmbll Drive
Pittsburgh, PA 15205","75 Trmbll Drive
Pittsburgh, PA 15205",412-276-3495,412-276-3169,zpatel@aia-technologies.com,http://www.aia-technologies.com
DBE,ALROWS LLC,ESTHER FRANKLIN,Appraisal servies real estate; Other Ativities Related to Real Estate; Title Abstrat and Settlement Offies,531320 531390 541191,"5 Bam Blvd #49
Pittsburgh, PA 15213","5 Bam Blvd #49
Pittsburgh, PA 15213",717-550-1182,800-377-2472,esther.franklin@alrows.com,https://www.alrows.com
DBE,AMR Holdings LLC,Andrea Robinson,Manages assets and ats as a regional managing offie.,551114,"33 Etaw Street
Pittsburgh, PA 15211","33 Etaw Street
Pittsburgh, PA 15211",412-953-1139,,Andrea@arclscor.com,
DBE,ARCLS,Andrea Robinson,Provides onslting servies to small/medim/large bsinesses. Provides staffing onslting servies organizational strategy. Marketing Conslting servies. Advises management teams regarding onsolidation and firm wide poliies.,541611 541612 541613,"33 Etaw Street
Pittsburgh, PA 15211","33 Etaw Street
Pittsburgh, PA 15211",412-953-1139,,,
DBE,ARK Transport LLC,Keya Lucas,Provides transportation of goods inlding bt not limited to dmp trk haling of aggregates stone dirt asphalt and salt.,484220 562119 562212,"93 Lafferty Avene
Pittsburgh, PA 15210","93 Lafferty Avene
Pittsburgh, PA 15210",412-956-4979,,ARKtransport93@gmail.com,
DBE,ATK Design Studios LLC,Teri Kidwell,Or kithen design onsltant team provides high level review servies to a fll A to Z pakage with onstrtion domentation. High level servies inlde General Consltation and Peer Review. A to Z servies inlde Shemati Design Design Development Constrtion Domentation Bid Doments and Constrtion Administration. Drawings will inlde MEP food servie eqipment data brohres and written speifiation (4). Doments sh as elevations and details with also be inlded in the onstrtion phases. In addition to design servies ATK will offer food servie eqipment seletions to assist in the most energy effiient and appropriate applianes for the food spae. Or team is well versed in mehanial eletrial and plmbing reqirements as well as speifying appropriate refrigeration and exhast ventilators. For better visalization we will provide 3D Skethps. The team's longevity in the foodservie design indstry has provided the team with bontifl knowledge in,236220 541410 541611,"6 Ohio River Blvd
Site 66
Sewickley, PA 15143","6 Ohio River Blvd
Site 66
Sewickley, PA 15143",724-630-8799,,teri@atkdesignstudios.com,http://atkdesignstudios.com/
DBE,Abator Information Services Inc,Ms. Marian Neilson,Information tehnology staffing and spport servies firm.,518210 541511 541512 541519 541611 541618 561110 561320 561422 611420,"65 Soth Avene
Pittsburgh, PA 15221","65 Soth Avene
Pittsburgh, PA 15221",412-271-5922,412-271-5833,marian@abator.com,https://abator.com/
DBE,Accomplishonline LLC,Jane Offutt,Creation sale  and distribtion of  Aomplish Reading (R) app for stdents grades 4-8.    The software holds a United States Patent.,611110 611710,"44 Mohian Drive
Pittsburgh, PA 15228","44 Mohian Drive
Pittsburgh, PA 15228",412-531-0807,,jane@accomplishonline.com,http://www.accomplishonline.com
DBE,Ackenheil Engineers Inc.,Susan Snow,Engineering - Civil & Geotehnial CAD work Materials Testing - soil rok onrete and asphalt onstrtion inspetion,237310 541330 541380 541512,"Banksville Road
Pittsburgh, PA 15216","Banksville Road
Pittsburgh, PA 15216",412-531-7111,412-531-4334,sasnow@ackenheil.com,http://www.ackenheil.com
DBE,Acuta Digital Inc.,Mr. Dominic Ebanks,Provides information tehnologies (IT) to small mid-sized bsinesses non-profit organizations and government entities.,513210 518210 541430 541511 541512 541519 541910,"7 River Avene
Site 43
Pittsburgh, PA 15212","7 River Avene
Site 43
Pittsburgh, PA 15212",866-965-3330,866-993-0005,debanks@acutadigital.com,http://www.AcutaDigital.com
DBE,Ad Impressions LP,Jamie Capan,Promotional prodts distribtor.,425120,"Sharon Drive
Pittsburgh, PA 15221","Sharon Drive
Pittsburgh, PA 15221",412-422-2500,,jcapan@adimpressions.net,http://www.adimpressions.net
DBE,Adams Petroleum Products Inc.,Amy Adams,Spplier of petrolem prodtsdiesel fels nleaded gasoline blk oil kerosene and fel storage tanks.,424720 457210,"6 Big Sewikley Creek Road
Sewickley, PA 15143","6 Big Sewikley Creek Road
Sewickley, PA 15143",412-734-9100,412-734-3349,amy.adams@adamspetro.com,http://www.adamspetro.com
DBE,Advance Staffing Central LLC,Judith Bernhard,Advane Soring Conepts is a fll servie Staffing Soltions Firm providing resores for Temporary Temp-to Hire and Diret Hire servies as well as Payroll Proessing On Site Reriters and Vendor Management Servies.  We speialize in Bsiness Medial some Tehnial staffing as well Government  Contrats and Military plaements.  Or Bsiness staffing overs  Administrative Aonting Cstomer  Servie Call Center and Hman Resore Speialists and additional ategories inlding some Tehnial plaement.  Or Medial Staffing Division plaes Nrse Pratitioners Hedis Nrses RN's LPN's and Medial Assistants as well as Researh Speialists Medial Billers Therapists Drg Conselors and Soial Workers.,561311,"3 MKnight East Drive
Site
Pittsburgh, PA 15237","3 MKnight East Drive
Site
Pittsburgh, PA 15237",412-415-5090,,jbernhard@ascpeople.com,http://ascpeople.com
DBE,Advanced Integration Group Inc.,Donna Chappel,Speialty trade ontrator involved with ivil engineering projets to perform installations of operational and ontrolsystems eletriel installations proess ontrols ontrol system design and integration servies provider of temporary and permanent employees in the field of administration IT graphi design engineering tehnial writers CAD operators and tehniians.,334513 334515 335313 335314 335999 541330 541340 541511 541512 561320,"MCormik Road
Site A
McKees Rocks, PA 15136","MCormik Road
Site A
McKees Rocks, PA 15136",412-722-0065,412-722-0066,dchappel@aigcontrols.com,http://www.aigcontrols.com
DBE,Advantus Engineers LLC,Alicia Avick,design energy analysis projet engineering ommissioning environmental ompliane qality assrane onstrtion management projet management,236220 541310 541330 541340 541618 561210,"4 MLaghlin Rn Rd
STE
Pittsburgh, PA 15241","4 MLaghlin Rn Rd
STE
Pittsburgh, PA 15241",412-489-9090,,aavick@advantusengineers.com,http://www.advantusengineers.com
DBE,AeroTrip Transportation LLC,Lucille Plummer,Ride sharing appliation fosed on transportation(airline) employee niqe reqirements.,485999 561990,"4 SMOKEY WOOD DRIVE 44
PITTSBURGH, PA 15218","4 SMOKEY WOOD DRIVE 44
PITTSBURGH, PA 15218",412-668-1009,,LP@ATRIPTRANS.COM,
DBE,Al Geisler & Sons Trucking Inc.,Deborah Geisler,Trking and haling.,484220,"989 MKees Roks Road
McKees Rocks, PA 15136","989 MKees Roks Road
McKees Rocks, PA 15136",412-331-2555,412-331-1875,Debgeislertrucking@gmail.com,
DBE,All Done Enterprises LLC,La Tasha Chomba,Provides delivery servies of varios atomotive prodts for loal bsinesses and delivery of voting mahines.,484110,"66 W. Manilla Avene
Pittsburgh, PA 15220","66 W. Manilla Avene
Pittsburgh, PA 15220",412-378-3711,,latasha.chomba@alldoneenterprisesllc.com,http://www.alldoneenterprisesllc.com
DBE,All Purpose Cleaning Service,Mary Coffey,Complete Janitorial servie ompany arpet wall and window leaning strip/wax floors Constrtion site leaning Flagg personnel/Traffi ontrol,238990 561720 561790,"9 Chartiers Avene
Pittsburgh, PA 15220","9 Chartiers Avene
Pittsburgh, PA 15220",412-922-6970,412-922-5601,MCoffey_apcs@comcast.net,http://www.allpurposeclean.com
DBE,Allegheny Community Home Care LLC,Tonja Smith,Provides person-entered servies and spports to individals who are aging homeless and have intelletal disabilities.  The goal of these servies is to promote independene ommnity involvement and qality of life.  Other servies inlde finane and reporting healthare onslting healthare staffing booking payroll servies transportation servies leaning/environmental servie.,485991 531311 541219 541611 561320 611430 621610 623110 623210 623220 623312 623990,"468 Northern Pike
Monroeville, PA 15146","468 Northern Pike
Monroeville, PA 15146",412-200-5325,412-200-5326,tonja.smith@achomecare.org,http://www.achomecare.org
SBE,"Allegheny GeoQuest, LLC","Mr. Roman Kyshakevych, Mr. Mark Sakino",Engineering Services,"541330, 541690, 541715","1 PPG Place, 31st Floor
Pittsburgh, PA 15222","1 PPG Place, 31st Floor
Pittsburgh, PA 15222",412-676-5164,,corporate@alleghenygeoquest.com,http://www.alleghenygeoquest.com
DBE,Allegheny Global Environmental Inc.,Tammy Seiler,Environmental onslting lab analysis asbestos on- slting and air monitoring servies.,541380 541620,"37 West Main Street
Carnegie, PA 15106","37 West Main Street
Carnegie, PA 15106",412-278-5400,412-278-5404,tseiler@aaglo.com,http://aaglo.com
DBE,Allegheny Textile Services Inc.,Laura Ford,Indstrial linen rental ompany,812331 812332,"85 6th Avene
Brackenridge, PA 15014","85 6th Avene
Brackenridge, PA 15014",724-524-6060,724-200-7106,lmford@alleghtext.com,http://www.alleghtext.com
DBE,Always Busy Consulting LLC,Stephanie Turman,Providing tehnial assistane reqired in identifying ontrat opportnities and mathing of DBE firms and prime ontrators.,236115 236116 236118 236220 237110 237310 237990 238110 238120 238130 238140 238150 238160 541611 541820,"Pennsylvania Avene
Pittsburgh, PA 15233","Pennsylvania Avene
Pittsburgh, PA 15233",412-973-9102,,sturman@alwaysbusyconsulting.com,http://www.alwaysbusyconsulting.com
DBE,AmeriCare Staffing Of Western PA,Ms Constance Spearman,Ameriare Staffing of Western Pennsylvania In. provides nonmedial in home servies to stomers. We offer ommerial leaning and lean stripping of floors.,541611 561720 624120,"Dff Road
Ste 3
Pittsburgh, PA 15235","Dff Road
Ste 3
Pittsburgh, PA 15235",412-241-2014,866-732-2073,conniespearman@gmail.com,
DBE,American Erection LLC,Celeste Wilhelm,ERECTION STRUCTURAL AND MISC STEEL PRODUCTS.,236210 236220 238120 238160 238190 238990,"3 Kittanning Pike
Pittsburgh, PA 15215","3 Kittanning Pike
Pittsburgh, PA 15215",412-965-4689,,cwilhelm@a-ellc.com,http://americanerectionllc.com
DBE,Anderson Interiors Inc.,Dana Heller,434	FILING CABINETS; 43	METAL PARTITIONS; 436	LOCKERS; 43	OFFICE FURNITURE; 437	TABLES;,238390 337214 337215 541410,"Plm Street
Verona, PA 15147","Plm Street
Verona, PA 15147",412-828-7420,,dheller@andersoninteriors.net,http://www.andersoninteriors.net
DBE,Aone Contracting & Supplies LLC,Mr. Emmett Miles,General ontrators traffi ontrol and providing bilding spplies.,236115 236116 238190 425120 488510,"7 Upland Street
Pittsburgh, PA 15208","7 Upland Street
Pittsburgh, PA 15208",412-345-7080,412-670-6488,emmett.miles64@gmail.com,
DBE,April Showers of Pittsburgh Inc.,Antoinette Rollins,Dry Cleaning Landry Servies and Alterations.,812320,"4638 Browns Hill Road
Pittsburgh, PA 15229","4638 Browns Hill Road
Pittsburgh, PA 15229",412-521-2407,,torryrollins@gmail.com,http://www.zoomdrycleaningpittsburgh.com/
DBE,Architectural Innovations LLC,Jan Brimmeier,Arhitetral design servies.,541310,"3 MKnight Park Drive
Pittsburgh, PA 15237","3 MKnight Park Drive
Pittsburgh, PA 15237",412-364-4966,412-364-4965,MK@aipgh.com,http://www.aipgh.com
DBE,Arimas LLC,HAFSA GORMAN,Wholesale dealer for onstrtion prodts.,423310 423330 423390 423720 423730 425120,"6 Meldon Avene
Donora, PA 15033","6 Meldon Avene
Donora, PA 15033",412-833-5753,,hafsagorman@gmail.com,http://www.arimasllc.com
DBE,Apartment 11 Productions LLC,Kathleen Lightholder,Video prodtion servies for TV and web training and edational videos and materials apital ampaign videos promotional videos real-estate tor videos stomer testimonial videos animations and motion graphis and a variety of ommniation materials;,512110,"4 Forest Glen Drive
Imperial, PA 15126","4 Forest Glen Drive
Imperial, PA 15126",412-916-6896,,Kati_Lightholder@yahoo.com,
DBE,Around the Clock Cleaning Specialists,Kimberlene Taylor,Commerial and residential janitorial servies.,561720,"63 Margaret Street
Pittsburgh, PA 15210","63 Margaret Street
Pittsburgh, PA 15210",412-758-9624,412-758-9624,kimtaylor44@yahoo.com,
DBE,Artistry Greenscapes Inc.,Kenneth Ross,Landsape onstrtion maintenane and related servies.,561730,"35 Midtown Sqare
Pittsburgh, PA 15219","35 Midtown Sqare
Pittsburgh, PA 15219",412-261-3835,412-261-3818,kross828@aol.com,
DBE,Axis Business Consultants LLC,Cynthia Enscoe,Wholesale of opies and printers for sale maintenane or lease.,532420,"5 Parkway View Drive
Pittsburgh, PA 15205","5 Parkway View Drive
Pittsburgh, PA 15205",412-788-6262,412-788-5111,cindy@axis-bc.com,http://www.axis-bc.com
DBE,B P Electrical,Dennis Burton,Eletrial ontrator.,238210,"6 Swissvale Avene
Pittsburgh, PA 15221","6 Swissvale Avene
Pittsburgh, PA 15221",412-292-9545,412-247-4869,dennisburtonbpelec@yahoo.com,
DBE,B&B Window Cleaning & Building Services,Rebecca Press,Provides window leaning both residential and ommerial exterior pressre washing exterior bilding leaning and gtter leaning.,561720 561790,"57 MKenna Avene
Pittsburgh, PA 15205","57 MKenna Avene
Pittsburgh, PA 15205",412-680-6530,412-341-1839,becca@bbwindowspgh.com,http://www.bbwindowspgh.com
DBE,BARBARA J. SALES ASSOCIATES INC.,Ms. Barbara Smith,Manfatrers' sales representative for varios glass prodts sh as doors inslated glass floors et.; skylights; strtral and fabriated steel; alminm windows storefront rtainwall doors terrae and patio doors; wood windows; bllet resistant window and doors; serity and instittional windows; aostial windows and rtainwall; ornamental metal work; and lmber plywood millwork and wood panel.,425120 541310,"6 Venango Cort
New Kensington, PA 15068","6 Venango Cort
New Kensington, PA 15068",412-523-3398,800-813-7122,barb@barbarajsales.com,http://www.barbarajsales.com
DBE,BRS ROLL-OFF SERVICE LLC,Bruce Burke,Haling steel aggregates provides roll-off boxes flat beds freight box van steel bed dmp trailers and haling for indstrial highway onstrtion and ommerial projets.,484220 562111 562119,"33 Camp Horne Road
Pittsburgh, PA 15202","33 Camp Horne Road
Pittsburgh, PA 15202",412-766-0834,412-766-0836,brstransport1@verizon.net,
DBE,BattlePlan Virtual LLC,Cheryl Keywanda Ballard-Battle,Provides ontent writing small bsiness onslting inlding marketing and strategy travel management and searh engine optimization servies.,541511 561510 711510,"6 Sherman St
Pittsburgh, PA 15221","6 Sherman St
Pittsburgh, PA 15221",412-805-9687,866-816-0003,keywandabattle@gmail.com,http://www.battleplanvirtual.com
DBE,Bentz Law Firm P.C.,Amy E Bentz,Law firm.,541110,"68 Washington Road
Site
Pittsburgh, PA 15228","68 Washington Road
Site
Pittsburgh, PA 15228",412-563-4500,412-563-4480,aebentz@bentzlaw.com,http://www.bentzlaw.com
DBE,Beth Buchwach Consultant,Beth Buchwach,Organization development and management onslting writing and editing servies and professional development and management training.,541611 611430 711510,"5744 Kentky Avene #6
Pittsburgh, PA 15232","5744 Kentky Avene #6
Pittsburgh, PA 15232",412-225-7648,,buchwachbeth@gmail.com,
DBE,Beyond Spots and Dots Inc.,MELANIE QUERRY,Beyond Spots & Dots handles varios responsibilities with respet to advertising and/or marketing making it trnkey for bsinesses they work with.  To assist in reating a strategi advertising plan they provide bt are not limited to the following advertising planning tools and servies: ; ; Media Planning; Negotiating; Bying	; Print Design; Market Researh	; Web Management; Brand Conslting	       ; Internet Advertising; Logo Design	       ; Media Negotiation; Video Prodtion	       ; Competitive Analysis; Marketing Materials	       ; Copywriting;,512110 519290 541810 541840 541850 541890,"34 Fifth Ave.
Pittsburgh, PA 15219","34 Fifth Ave.
Pittsburgh, PA 15219",412-576-8641,,mquerry@beyondspotsanddots.com,https://www.beyondspotsanddots.com/
DBE,Big Knight LLC,Abdul-Rasheed Nasir,Provides ommerial leaning servies to inlde resilient floor are arpet leaning haling/jnk removal.  Dmpster rental servies. ;,425120 561720 561740,"P.O. Box 33
Munhall, PA 15120","P.O. Box 33
Munhall, PA 15120",800-371-7410,800-371-7410,abdul@weclean247.com,http://Weclean247.com
SBE,"Big Pine Consultants, LLC",Mr. Justin C Johnston,"Environmental Consulting Services, Engineering Services, Remediation Services, Highway, Street and Bridge Construction Geophysical surveying and Mapping Services","237310, 541330, 541360, 541620, 562910","1066 Towervue Drive
Pittsburgh, PA 15227","1066 Towervue Drive
Pittsburgh, PA 15227",231-282-2192,,Justin.Johnston@bigpineconsultants.com,http://www.bigpineconsultants.com
DBE,Blender inc.,Kris Knieriem,Integrated marketing firm providing fll-servie advertising pbli relations soial medial reative design and ommnity otreah servies.,541810 541820,"39 S LINDEN AVE
/o Kris Knieriem
PITTSBURGH, PA 15208","39 S LINDEN AVE
/o Kris Knieriem
PITTSBURGH, PA 15208",412-901-5322,,kris@blenderadv.com,https://www.blenderadv.com
DBE,Boden Consulting Services LLC,JEREMIAH WALKER III,Environmental onslting ompliane inspetion erosion and sediment ontrol aerial servies,541340 541370 541620,"4 SATINWOOD DRIVE
WEST MIFFLIN, PA 15122","4 SATINWOOD DRIVE
WEST MIFFLIN, PA 15122",770-633-0885,,JWALKER@BODENCONSULTINGSVC.COM,http://WWW.BODENCONSULTINGSVC.COM
DBE,Boyd Roll-Off Services Inc.,Adrian Boyd,Provides roll-off dmpsters for both ommerial and residential stomers.,562111,"7 Thompson Avene
McKees Rocks, PA 15136","7 Thompson Avene
McKees Rocks, PA 15136",412-331-6830,412-331-2340,adrian@boydrolloff.com,http://www.boydrollservices.com
DBE,Brightset Systems LLC,Ishak Jama,Engineering servies to spply eletrial eqipment motor ontrol enters (MCC's) and wastewater treatment plants.,541330 541420 541620,"467 Library Road
Site -664
Bethel Park, PA 15102","467 Library Road
Site -664
Bethel Park, PA 15102",412-944-5317,412-944-5317,BRIGHTSET@GMAIL.COM,
DBE,Buildz Construction Inc,John Saunders,lawnare & landsaping maintenane & design painting,561730,"4 Pennsylvania Ave
Pittsburgh, PA 15233","4 Pennsylvania Ave
Pittsburgh, PA 15233",412-223-7099,,JLSaunders127@gmail.com,
DBE,Bulldog Electric,Lon English,Eletrial ontrator.,238210,"54 Broadrest Drive
Pittsburgh, PA 15235","54 Broadrest Drive
Pittsburgh, PA 15235",412-345-8098,412-455-5454,blldgelectric@yahoo.com,http://www.bulldogelectric.com
DBE,City Sportz,Joseph Brentley,Distribtor of all promotional items sports apparel niforms embroidery and silk sreening trophies and plages.,314999 315210,"86 Brielyn Street Apt 3
Pittsburgh, PA 15221","86 Brielyn Street Apt 3
Pittsburgh, PA 15221",412-415-3108,412-415-0530,citysportz212@gmail.com,
DBE,Civic Mapper LLC,Dr. Emily Mercurio,geosiene geospatial tehnology GIS digital mapping storm water rban drainage elevation models DEM remote sensing infrastrtre rban planning and design,518210 541370 541511 541512,"6 Penn Ave.
Site
Pittsburgh, PA 15206","6 Penn Ave.
Site
Pittsburgh, PA 15206",315-729-7869,,emilycmercurio@gmail.com,http://www.civicmapper.com
DBE,Burke & Michael Inc.,Mary Frances Hogan Egyed,Frnitre dealership offering spae planning prorement delivery and installation servies to orporations and instittions in Western Pennsylvania and the srronding tri-state area.,238390 423210 442110 449110 541420 541611,"833 Beeh Avene
pittsburgh, PA 15233","833 Beeh Avene
pittsburgh, PA 15233",412-321-2301,412-321-4582,Maryfrances@burkemichael.com,http://www.burkeandmichael.com
DBE,Butler Landscaping/Construction,Roy Butler Jr.,Fll servie landsaping onstrtion servies.,561730,"4 Grove Road
Pittsburgh, PA 15234","4 Grove Road
Pittsburgh, PA 15234",412-812-4045,412-884-1808,roy@butlerlandscaping.net,
DBE,Buzzelli Group LLC,Heidi Buzzelli,onstrtion manager,236220 238320 425120 541410 541611,"Beeh Ridge Drive
Sewickley, PA 15143","Beeh Ridge Drive
Sewickley, PA 15143",724-263-1626,,hbuzzelli@buzzelligroup.com,
DBE,Byars & Alexander Financial Group LLC,Louis Alexander,Employee benefit onslting servies retirement benefits healthare life insrane disability investments.,524210 541612,"8 River Avene  Site 3
PITTSBURGH, PA 15212","8 River Avene  Site 3
PITTSBURGH, PA 15212",412-231-5512,412-231-5510,byarsalex1@aol.com,
DBE,Bynums Marketing & Communications Inc.,Russell Bynum,Fll servie marketing advertising and pbli relations ageny.  Servies inlde: Marketing Conslting Graphi Design Writing Media Planning & Plaement Pbli Relations Servies Researh and Event Planning,541430 541611 541613 541810 541820 541890,"3 Grant Street
Site 7
Pittsburgh, PA 15219","3 Grant Street
Site 7
Pittsburgh, PA 15219",412-471-4332,,rbynum2124@earthlink.net,
DBE,C & S Locksmith Services LLC,Christopher Haigh,Installs and repairs residential atomotive and ommerial loks. Creates residential and ommerial master key systems. Cts residential ommerial and atomotive keys. Re-keys residential ommerial and atomotive lok ylinders.,561622,"4 Elid Avene
McKeesport, PA 15132","4 Elid Avene
McKeesport, PA 15132",412-889-5120,412-896-4378,cslocksmithservices@yahoo.com,http://www.cslocksmithservices.com
DBE,C&C Business Products LLC,Molly Wawrzynski,Diret mail servie.,323111 561499,"493 S. Pioneer Road
Gibsonia, PA 15044","493 S. Pioneer Road
Gibsonia, PA 15044",724-443-5933,724-443-5937,molly@ccmailing.com,http://www.ccmailing.com
DBE,C&C Mastercleaning & Restoration LLC,CLETUS LEE,Interior exterior demolition water damage restoration servies asbestos abatement haling.,238910 238990 484220 562111 562119 562910,"8 REBECCA ST
BRADDOCK, PA 15104","8 REBECCA ST
BRADDOCK, PA 15104",412-916-8885,,ccmasterclean3@gmail.com,
DBE,C. M. Marks Inc.,Kathy Jo Marks,Utility lines related to main water and sewer and grading.,237110 238910,"654 Stebenville Pike
McKees Rocks, PA 15136","654 Stebenville Pike
McKees Rocks, PA 15136",412-787-1153,412-787-1153,cmminc@comcast.net,
DBE,C. Tabon Engineering LLC,Mr. Caleb Tabon,Engineering servies srveying and mapping.,541330 541370,"95 Woodland Cort
Allison Park, PA 15101","95 Woodland Cort
Allison Park, PA 15101",412-213-8348,,ctabon@tabonengineering.com,
DBE,CAD Construct LLC,Keith Owens,Compter aided drafting (CAD) Bilding Information Modelling (BIM) D and 3D drafting servies providing a range of drawings renderings bleprints elevation for engineers arhitets and ontrators.,541340,"9 W th Avene
Homestead, PA 15120","9 W th Avene
Homestead, PA 15120",412-889-1492,412-462-0679,kowensCAD@gmail.com,http://www.CADConstructLLC.com
DBE,CAMSCO Service Inc.,Mary Campbell,Installer of workzone traffi eqipment for onstrtion projets.,237310 238910 339950,"373 Washington Road
Clinton, PA 15026","373 Washington Road
Clinton, PA 15026",814-881-1871,814-825-5830,camscosc@hotmail.com,
DBE,CARTL Construction Inc.,Joyce Romig,Constrtion ontrator in the areas of demolition masonry and onrete blok.,238140 238910,"3 Christonia Road
Gibsonia, PA 15044","3 Christonia Road
Gibsonia, PA 15044",724-444-6751,724-443-6583,cartlconst@yahoo.com,
DBE,CCL Restoration LLC,Carmen Jordan,Fll servie residential and ommerial leaning ompany.,236220 425120 561720,"55 Pine Valley Drive
Pittsburgh, PA 15235","55 Pine Valley Drive
Pittsburgh, PA 15235",412-926-6156,,info@cclrestoration.com,http://www.cclrestoration.com
DBE,CIH Services Inc.,Michele Slinkard,Indoor air qality OSHA ompliane opational exposre monitoring sond level srvey asbestos lead safety/health training.,541620,"65 William Pitt Way
Pittsburgh, PA 15238","65 William Pitt Way
Pittsburgh, PA 15238",412-826-8000,,cihservices@verizon.net,
DBE,CLARITY CONNECT SERVICES LLC,Andres Hermida,Paking distribtion proessing shredded paper to rinkle paper and online marketing,322299 423840,"69 LYNN WAY STE 3
PITTSBURGH, PA 15208","69 LYNN WAY STE 3
PITTSBURGH, PA 15208",800-433-9502,,SUPPORT@CLARITYCONNECTSVCS.COM,
DBE,CSI Construction Company Inc.,Heddy Richard,General ontrator for mlti-family residential and ommerial projets and onstrtion management servies.,236115 236116 236210 236220 237110 237310 237990 238910 562910,"85 Aber Road
Verona, PA 15147","85 Aber Road
Verona, PA 15147",412-580-4468,412-727-7112,heddycsi@yahoo.com,
DBE,Caden Care HomecareLLC,La Shawn Mosley,Offering Non-Medial Home Care ; Respite Care ; Private Dty; Companion Aide; Esort to Dr.Appt; Shopping ; Errands ; Landry; Light Hose Keeping ; Meal Prep; Mediation Reminders; Bathing and Grooming,621610,"665 Rodi Road Site 35
Pittsburgh, PA 15235","665 Rodi Road Site 35
Pittsburgh, PA 15235",412-798-5320,412-798-2419,lashawn@cadencare.com,http://www.cadencare.com
DBE,Cafe' On The Corner,Lateresa Blackwell,A omfortable inviting restarant offering an eleti mlti-ethni moderately pried men. Also provides a fll apaity atering servie inlding event rentals.,531120 722320 722513,"7 Shadeland Ave
Pittsburgh, PA 15212","7 Shadeland Ave
Pittsburgh, PA 15212",412-415-3672,,cafeonthecornerpgh@gmail.com,https://cafeonthecornerpgh.org
